题目,难度,是否前十
v1,800,True
v15,800,True
v17,800,True
v22,800,True
v30,800,True
v63,800,True
v71,800,False
v91,800,True
v106,800,True
v112,800,False
v118,800,True
v124,800,True
v127,800,True
v130,800,True
v133,800,True
v137,800,True
v147,800,False
v161,800,True
v167,800,False
v168,800,True
v173,800,True
v183,800,False
v191,800,True
v193,800,True
v199,800,True
v204,800,True
v206,800,True
v210,800,False
v217,800,True
v220,800,True
v223,800,True
v229,800,True
v233,800,True
v247,800,False
v249,800,True
v251,800,True
v288,800,True
v290,800,True
v291,800,True
v300,800,True
v314,800,False
v316,800,False
v327,800,True
v329,800,True
v334,800,True
v356,800,False
v370,800,True
v375,800,True
v378,800,True
v387,800,True
v396,800,True
v399,800,False
v405,800,True
v414,800,True
v417,800,False
v422,800,True
v424,800,False
v434,800,True
v441,800,True
v445,800,True
v446,800,True
v461,800,True
v474,800,True
v498,800,True
v507,800,True
v516,800,True
v4,900,False
v13,900,True
v21,900,True
v24,900,True
v38,900,True
v43,900,True
v44,900,True
v53,900,True
v58,900,True
v73,900,True
v89,900,True
v90,900,True
v97,900,True
v117,900,False
v195,900,False
v200,900,True
v207,900,True
v252,900,True
v273,900,True
v277,900,False
v301,900,False
v323,900,True
v331,900,True
v333,900,True
v351,900,True
v352,900,True
v395,900,True
v397,900,True
v402,900,True
v407,900,False
v420,900,False
v425,900,True
v439,900,True
v452,900,True
v456,900,False
v471,900,True
v492,900,True
v2,1000,True
v25,1000,True
v33,1000,True
v40,1000,True
v57,1000,True
v64,1000,True
v69,1000,True
v72,1000,True
v78,1000,False
v79,1000,False
v81,1000,True
v83,1000,True
v84,1000,False
v99,1000,False
v110,1000,False
v129,1000,False
v157,1000,True
v176,1000,True
v177,1000,True
v184,1000,True
v186,1000,True
v197,1000,True
v216,1000,True
v222,1000,True
v227,1000,True
v244,1000,True
v246,1000,True
v250,1000,True
v255,1000,True
v262,1000,True
v265,1000,True
v281,1000,True
v303,1000,True
v307,1000,True
v317,1000,True
v319,1000,True
v325,1000,True
v342,1000,True
v346,1000,False
v357,1000,False
v367,1000,True
v368,1000,True
v369,1000,False
v379,1000,True
v392,1000,False
v398,1000,True
v400,1000,True
v406,1000,True
v409,1000,False
v413,1000,True
v419,1000,False
v427,1000,True
v429,1000,True
v432,1000,True
v435,1000,False
v454,1000,True
v473,1000,False
v482,1000,True
v497,1000,True
v502,1000,True
v511,1000,True
v512,1000,False
v514,1000,True
v7,1100,True
v8,1100,True
v12,1100,True
v20,1100,True
v31,1100,True
v34,1100,True
v35,1100,True
v37,1100,True
v47,1100,False
v50,1100,True
v51,1100,True
v60,1100,True
v74,1100,True
v101,1100,True
v103,1100,True
v104,1100,True
v107,1100,True
v108,1100,True
v119,1100,False
v121,1100,False
v135,1100,True
v138,1100,False
v142,1100,True
v153,1100,True
v175,1100,False
v188,1100,True
v190,1100,True
v192,1100,True
v202,1100,True
v226,1100,True
v234,1100,True
v238,1100,False
v242,1100,True
v253,1100,True
v254,1100,False
v256,1100,True
v257,1100,True
v266,1100,True
v271,1100,True
v279,1100,True
v283,1100,True
v284,1100,True
v289,1100,True
v297,1100,True
v302,1100,False
v315,1100,True
v318,1100,True
v322,1100,True
v332,1100,True
v363,1100,False
v371,1100,True
v380,1100,True
v381,1100,True
v383,1100,True
v394,1100,True
v408,1100,False
v421,1100,True
v423,1100,True
v450,1100,False
v455,1100,False
v466,1100,False
v467,1100,True
v480,1100,True
v481,1100,True
v484,1100,True
v485,1100,False
v488,1100,True
v490,1100,True
v506,1100,True
v18,1200,True
v39,1200,True
v66,1200,True
v75,1200,True
v93,1200,False
v94,1200,True
v102,1200,True
v113,1200,True
v114,1200,True
v122,1200,True
v134,1200,False
v141,1200,True
v164,1200,True
v170,1200,False
v174,1200,True
v182,1200,True
v189,1200,True
v196,1200,True
v201,1200,False
v203,1200,False
v212,1200,False
v236,1200,True
v240,1200,True
v248,1200,False
v258,1200,True
v260,1200,True
v268,1200,True
v269,1200,True
v305,1200,True
v308,1200,True
v313,1200,True
v347,1200,False
v349,1200,True
v372,1200,True
v373,1200,False
v393,1200,False
v404,1200,True
v444,1200,True
v447,1200,True
v472,1200,False
v475,1200,True
v476,1200,True
v5,1300,True
v49,1300,True
v62,1300,True
v65,1300,False
v67,1300,True
v80,1300,True
v87,1300,True
v88,1300,True
v98,1300,True
v139,1300,True
v140,1300,True
v151,1300,True
v154,1300,True
v155,1300,False
v172,1300,False
v181,1300,False
v198,1300,True
v211,1300,True
v213,1300,True
v214,1300,True
v219,1300,True
v225,1300,True
v243,1300,True
v261,1300,True
v263,1300,False
v276,1300,False
v278,1300,True
v293,1300,True
v298,1300,True
v309,1300,True
v310,1300,False
v321,1300,True
v341,1300,True
v345,1300,True
v348,1300,False
v354,1300,True
v359,1300,True
v364,1300,True
v382,1300,True
v389,1300,False
v415,1300,True
v428,1300,True
v448,1300,True
v449,1300,True
v453,1300,False
v468,1300,True
v478,1300,True
v486,1300,True
v491,1300,True
v493,1300,True
v510,1300,False
v6,1400,True
v9,1400,True
v10,1400,False
v14,1400,True
v16,1400,False
v19,1400,True
v29,1400,True
v36,1400,False
v48,1400,True
v52,1400,True
v82,1400,True
v92,1400,True
v123,1400,True
v145,1400,True
v146,1400,True
v150,1400,True
v158,1400,True
v159,1400,False
v165,1400,True
v169,1400,False
v194,1400,True
v205,1400,True
v224,1400,True
v230,1400,True
v232,1400,True
v235,1400,False
v239,1400,False
v245,1400,True
v264,1400,True
v267,1400,True
v311,1400,True
v324,1400,False
v330,1400,True
v336,1400,True
v337,1400,True
v340,1400,False
v353,1400,True
v366,1400,False
v376,1400,True
v403,1400,True
v436,1400,False
v440,1400,True
v443,1400,False
v451,1400,False
v459,1400,True
v477,1400,False
v479,1400,True
v483,1400,True
v494,1400,True
v499,1400,True
v515,1400,True
v23,1500,True
v42,1500,False
v54,1500,True
v68,1500,True
v70,1500,True
v77,1500,True
v120,1500,True
v125,1500,True
v128,1500,False
v143,1500,True
v149,1500,True
v163,1500,True
v166,1500,False
v180,1500,True
v228,1500,False
v231,1500,True
v285,1500,True
v296,1500,True
v326,1500,True
v362,1500,True
v437,1500,True
v438,1500,True
v458,1500,True
v464,1500,True
v465,1500,True
v470,1500,False
v487,1500,True
v501,1500,False
v508,1500,False
v517,1500,False
v11,1600,False
v41,1600,True
v45,1600,True
v56,1600,False
v95,1600,False
v132,1600,False
v162,1600,False
v178,1600,True
v187,1600,True
v218,1600,True
v270,1600,True
v287,1600,True
v344,1600,False
v358,1600,True
v360,1600,False
v374,1600,True
v388,1600,True
v401,1600,True
v412,1600,True
v430,1600,True
v442,1600,True
v457,1600,True
v463,1600,True
v496,1600,True
v503,1600,True
v513,1600,False
v26,1700,True
v76,1700,False
v96,1700,False
v126,1700,True
v171,1700,True
v179,1700,True
v185,1700,False
v215,1700,True
v259,1700,True
v304,1700,True
v335,1700,False
v338,1700,True
v343,1700,True
v361,1700,True
v386,1700,True
v390,1700,True
v410,1700,False
v426,1700,False
v431,1700,True
v460,1700,True
v489,1700,True
v500,1700,True
v504,1700,True
v505,1700,True
v100,1800,False
v109,1800,True
v116,1800,False
v144,1800,True
v148,1800,True
v274,1800,False
v294,1800,True
v299,1800,False
v328,1800,True
v391,1800,False
v416,1800,True
v469,1800,False
v509,1800,True
v115,1900,True
v136,1900,True
v152,1900,True
v208,1900,True
v209,1900,True
v272,1900,True
v320,1900,True
v350,1900,True
v27,2000,False
v28,2000,True
v85,2000,True
v105,2000,True
v111,2000,True
v156,2000,True
v221,2000,False
v275,2000,True
